H,V,C,MUNSELL_NAME,x,y,Y,OKLCH_L,OKLCH_C,OKLCH_h,sRGB_R,sRGB_G,sRGB_B,IN_SRGB_GAMUT,FAKE_MUNSEL
2.5RP,0.6,4,2.5RP 0.6/4,0.324,0.179,0.699,0.1980176537,0.07146468887,330.9287527,0.1505915742,0.02240888189,0.1412673119,TRUE,FALSE
5RP,0.6,2,5RP 0.6/2,0.337,0.226,0.699,0.1949611704,0.04606914924,336.4451671,0.1310815879,0.04639466939,0.1118998015,TRUE,FALSE
5RP,0.6,4,5RP 0.6/4,0.347,0.189,0.699,0.1982435439,0.07228232885,336.4972403,0.1575693434,0.01892096783,0.1310996236,TRUE,FALSE
7.5RP,0.6,2,7.5RP 0.6/2,0.355,0.236,0.699,0.1951017502,0.04635241593,342.5413353,0.1357839022,0.04464913837,0.1039579811,TRUE,FALSE
7.5RP,0.6,4,7.5RP 0.6/4,0.373,0.2,0.699,0.1984798198,0.07345549477,342.1564538,0.1644909665,0.01517052966,0.120147245,TRUE,FALSE
10RP,0.6,2,10RP 0.6/2,0.372,0.247,0.699,0.1951264072,0.04602583026,348.2504363,0.1390117319,0.0438150202,0.0958352175,TRUE,FALSE
10RP,0.6,4,10RP 0.6/4,0.399,0.211,0.699,0.1986770424,0.07462040899,347.3042648,0.1704412974,0.01181113244,0.1094502886,TRUE,FALSE
2.5R,0.6,2,2.5R 0.6/2,0.391,0.26,0.699,0.1951091076,0.0456151706,354.6015619,0.1419030372,0.04326831397,0.08657137037,TRUE,FALSE
2.5R,0.6,4,2.5R 0.6/4,0.432,0.227,0.699,0.1987341743,0.07486679262,353.6130524,0.1757843429,0.009425852917,0.09502310962,TRUE,FALSE
5R,0.6,2,5R 0.6/2,0.411,0.274,0.699,0.1950741931,0.04540385252,1.212230693,0.1444608932,0.04287824353,0.07676878221,TRUE,FALSE
